100,125,154,145
126,153,180,177
123,155,185,177
100,162,161,185
94,149,151,171
92,119,144,142
105,153,160,174
83,158,141,176
94,123,145,146
122,152,175,174
90,134,141,154
98,139,146,159
86,119,133,139
79,133,132,151
94,115,143,135
74,121,130,138
106,187,147,204
78,114,127,136
78,122,131,143
114,121,168,142
90,133,140,158
127,151,175,171
0,0,0,0
0,0,0,0
91,173,153,196
116,163,178,185
118,209,178,232
130,149,191,176
89,142,146,164
85,151,148,173
97,152,154,174
89,140,147,164
91,194,154,218
105,124,161,149
0,0,0,0
118,162,169,198
95,138,153,168
93,142,151,166
89,154,149,181
91,158,150,182
103,163,163,185
113,221,177,242
93,149,154,175
113,148,171,172
105,160,164,185
94,166,152,187
126,336,186,357
0,0,0,0
108,184,168,208
99,166,163,187
125,166,189,188
0,0,0,0
87,149,146,175
104,151,164,173
119,173,181,199
88,147,148,171
99,150,160,174
133,175,193,197
117,176,176,197
112,148,172,170
106,175,172,199
124,157,183,182
96,154,154,176
101,195,164,220
198,163,358,244
117,150,175,172
126,264,196,288
101,149,162,179
121,142,179,165
0,0,0,0
97,150,155,171
106,184,169,210
90,154,150,177
100,144,159,168
88,148,147,173
96,148,153,170
101,163,160,187
94,138,153,161
125,173,188,195
0,0,0,0
0,0,0,0
109,147,169,175
114,167,172,193
107,175,167,198
0,0,0,0
130,164,192,186
109,141,169,166
99,144,160,169
103,149,163,176
122,163,184,189
134,180,194,206
0,0,0,0
106,186,169,212
121,168,184,190
97,214,154,237
117,154,176,176
115,148,174,172
93,144,153,166
108,173,168,195
109,164,170,189
96,185,157,206
119,214,180,240
121,248,184,274
98,152,158,177
102,145,161,169
109,171,170,195
116,153,174,176
127,164,186,188
87,147,149,175
123,151,182,177
94,147,159,169
113,147,172,171
99,150,159,174
89,193,150,215
104,171,164,197
104,140,164,165
88,165,149,189
123,156,181,180
131,146,190,171
111,180,174,203
93,198,155,223
97,158,158,183
84,198,146,220
128,161,188,184
88,151,147,175
110,169,173,194
68,189,128,214
107,153,166,178
0,0,0,0
116,148,176,172
113,162,175,192
109,158,169,182
106,145,164,167
108,159,167,185
119,176,184,204
104,141,164,165
123,171,186,196
125,213,187,261
108,162,169,187
107,144,166,169
100,256,161,280
0,0,0,0
111,142,170,164
101,143,159,166
239,184,410,254
127,170,191,198
